255,0,0
255,0,15
255,0,30
255,0,45
255,0,60
255,0,75
255,0,90
255,0,105
255,0,120
255,0,135
255,0,150
255,0,165
255,0,180
255,0,195
255,0,210
255,0,225
255,0,240
255,0,255
240,0,255
225,0,255
210,0,255
195,0,255
180,0,255
165,0,255
150,0,255
135,0,255
120,0,255
105,0,255
90,0,255
75,0,255
60,0,255
45,0,255
30,0,255
15,0,255
0,0,255
0,15,255
0,30,255
0,45,255
0,60,255
0,75,255
0,90,255
0,105,255
0,120,255
0,135,255
0,150,255
0,165,255
0,180,255
0,195,255
0,210,255
0,225,255
0,240,255
0,255,255
0,255,240
0,255,225
0,255,210
0,255,195
0,255,180
0,255,165
0,255,150
0,255,135
0,255,120
0,255,105
0,255,90
0,255,75
0,255,60
0,255,45
0,255,30
0,255,15
0,255,0
15,255,0
30,255,0
45,255,0
60,255,0
75,255,0
90,255,0
105,255,0
120,255,0
135,255,0
150,255,0
165,255,0
180,255,0
195,255,0
210,255,0
225,255,0
240,255,0
255,255,0
255,240,0
255,225,0
255,210,0
255,195,0
255,180,0
255,165,0
255,150,0
255,135,0
255,120,0
255,105,0
255,90,0
255,75,0
255,60,0
255,45,0
255,30,0
255,15,0
